name	session	legislatorID	wnom_stderr	wnom_adj	adj_mean
Averitt	78	5470	0.1061	0.681824	0.426097
Averitt	79	5470	0.1948	0.497605	0.426097
Averitt	80	5470	0.1653	0.397584	0.426097
Averitt	81	5470	0.2294	0.127376	0.426097
Carona	76	5475	0.115	0.388	0.396593
Carona	77	5475	0.0853	0.584551	0.396593
Carona	78	5475	0.1073	0.668513	0.396593
Carona	79	5475	0.1863	0.597469	0.396593
Carona	80	5475	0.1435	0.071997	0.396593
Carona	81	5475	0.2106	0.069028	0.396593
Davis	81	108093	0.0498	-0.804974	-0.804974
Democrat	76	99995	0.0942	-0.4161	-0.644272
Democrat	77	99995	0.0752	-0.5796	-0.644272
Democrat	78	99995	0.0809	-0.833222	-0.644272
Democrat	79	99995	0.1207	-0.656078	-0.644272
Democrat	80	99995	0.0852	-0.688802	-0.644272
Democrat	81	99995	0.0631	-0.69183	-0.644272
Deuell	78	49358	0.1066	0.71988	0.441492
Deuell	79	49358	0.1888	0.545506	0.441492
Deuell	80	49358	0.1523	0.103181	0.441492
Deuell	81	49358	0.2556	0.397401	0.441492
Duncan	76	5497	0.0987	0.5613	0.503003
Duncan	77	5497	0.0855	0.45682	0.503003
Duncan	78	5497	0.1027	0.663545	0.503003
Duncan	79	5497	0.1839	0.581752	0.503003
Duncan	80	5497	0.1709	0.293575	0.503003
Duncan	81	5497	0.2433	0.461026	0.503003
Ellis	76	5438	0.0768	-0.7282	-0.687568
Ellis	77	5438	0.0819	-0.22748	-0.687568
Ellis	78	5438	0.0999	-0.646126	-0.687568
Ellis	79	5438	0.0745	-0.956527	-0.687568
Ellis	80	5438	0.0869	-0.749619	-0.687568
Ellis	81	5438	0.0479	-0.817456	-0.687568
Eltife	79	15354	0.2011	0.407577	0.575001
Eltife	80	15354	0.1012	0.825146	0.575001
Eltife	81	15354	0.2353	0.49228	0.575001
Estes	78	49388	0.1093	0.777715	0.85162
Estes	79	49388	0.0615	0.916951	0.85162
Estes	80	49388	0.0956	0.857879	0.85162
Estes	81	49388	0.1143	0.853936	0.85162
Fraser	76	9952	0.0848	0.7261	0.936671
Fraser	77	9952	0.0367	1.06582	0.936671
Fraser	78	9952	0.1077	0.801243	0.936671
Fraser	79	9952	0.0747	0.88744	0.936671
Fraser	80	9952	0.0817	1.00014	0.936671
Fraser	81	9952	0.0346	1.13928	0.936671
Gallegos	76	5440	0.0773	-1	-0.905742
Gallegos	77	5440	0.0776	-0.958439	-0.905742
Gallegos	78	5440	0.0907	-0.961265	-0.905742
Gallegos	79	5440	0.0568	-1.06249	-0.905742
Gallegos	80	5440	0.0896	-0.70391	-0.905742
Gallegos	81	5440	0.0583	-0.748351	-0.905742
Harris	76	5442	0.0938	0.5984	0.83222
Harris	77	5442	0.0866	0.632627	0.83222
Harris	78	5442	0.1034	0.727098	0.83222
Harris	79	5442	0.1402	0.744593	0.83222
Harris	80	5442	0.0543	1.18724	0.83222
Harris	81	5442	0.0476	1.10336	0.83222
Hegar	80	49274	0.1735	0.337251	0.572406
Hegar	81	49274	0.1291	0.807562	0.572406
Hinojosa	78	10049	0.0925	-0.961265	-0.687285
Hinojosa	79	10049	0.1464	-0.481261	-0.687285
Hinojosa	80	10049	0.0788	-0.662073	-0.687285
Hinojosa	81	10049	0.0686	-0.644543	-0.687285
Huffman	81	110896	0.0538	1.07576	1.07576
Jackson	76	5533	0.083	0.7698	0.926486
Jackson	77	5533	0.0643	0.962176	0.926486
Jackson	78	5533	0.1095	0.808179	0.926486
Jackson	79	5533	0.1221	0.772072	0.926486
Jackson	80	5533	0.0615	1.15703	0.926486
Jackson	81	5533	0.0539	1.08966	0.926486
Lucio	76	5445	0.1279	0.1671	-0.420257
Lucio	77	5445	0.075	-0.499034	-0.420257
Lucio	78	5445	0.102	-0.610788	-0.420257
Lucio	79	5445	0.1489	-0.482865	-0.420257
Lucio	80	5445	0.0663	-0.511385	-0.420257
Lucio	81	5445	0.0734	-0.584571	-0.420257
Nelson	76	5451	0.0779	0.9221	0.950523
Nelson	77	5451	0.0659	0.905902	0.950523
Nelson	78	5451	0.1226	0.913444	0.950523
Nelson	79	5451	0.0332	0.969128	0.950523
Nelson	80	5451	0.0796	1.00925	0.950523
Nelson	81	5451	0.0779	0.983316	0.950523
Nichols	80	59338	0.0714	1.08323	1.02551
Nichols	81	59338	0.0812	0.967791	1.02551
Ogden	76	5559	0.0759	1	0.940948
Ogden	77	5559	0.0603	0.986265	0.940948
Ogden	78	5559	0.1222	0.896478	0.940948
Ogden	79	5559	0.0624	0.912995	0.940948
Ogden	80	5559	0.0885	0.927316	0.940948
Ogden	81	5559	0.0942	0.922634	0.940948
Patrick	80	57986	0.0545	1.18724	1.16326
Patrick	81	57986	0.0341	1.13928	1.16326
Republican	76	99994	0.1082	0.4383	0.592509
Republican	77	99994	0.083	0.607931	0.592509
Republican	78	99994	0.1149	0.799931	0.592509
Republican	79	99994	0.1451	0.722995	0.592509
Republican	80	99994	0.1681	0.386157	0.592509
Republican	81	99994	0.2064	0.599742	0.592509
Seliger	79	49550	0.16	0.682044	0.690202
Seliger	80	49550	0.1142	0.721137	0.690202
Seliger	81	49550	0.1829	0.667425	0.690202
Shapiro	76	5456	0.0692	1	0.897722
Shapiro	77	5456	0.0741	0.790013	0.897722
Shapiro	78	5456	0.1106	0.782964	0.897722
Shapiro	79	5456	0.0835	0.861886	0.897722
Shapiro	80	5456	0.0804	1.0198	0.897722
Shapiro	81	5456	0.0933	0.931666	0.897722
Shapleigh	76	9968	0.0791	-1	-0.947039
Shapleigh	77	9968	0.0783	-0.952468	-0.947039
Shapleigh	78	9968	0.0898	-0.961265	-0.947039
Shapleigh	79	9968	0.0364	-1.12867	-0.947039
Shapleigh	80	9968	0.0881	-0.749619	-0.947039
Shapleigh	81	9968	0.028	-0.890213	-0.947039
Uresti	80	15218	0.0749	-0.603193	-0.598448
Uresti	81	15218	0.0718	-0.593704	-0.598448
VandePutte	77	8021	0.0821	-0.734253	-0.748347
VandePutte	78	8021	0.0827	-0.865373	-0.748347
VandePutte	79	8021	0.1387	-0.571075	-0.748347
VandePutte	80	8021	0.0876	-0.749619	-0.748347
VandePutte	81	8021	0.0493	-0.821413	-0.748347
Watson	80	57991	0.0861	-0.746811	-0.738195
Watson	81	57991	0.0603	-0.729579	-0.738195
Wentworth	76	5462	0.0721	1	0.789873
Wentworth	77	5462	0.0382	1.06582	0.789873
Wentworth	78	5462	0.1288	0.913444	0.789873
Wentworth	79	5462	0.0328	0.969128	0.789873
Wentworth	80	5462	0.1721	0.327082	0.789873
Wentworth	81	5462	0.2426	0.463765	0.789873
West	76	5463	0.0767	-0.9042	-0.754488
West	77	5463	0.0788	-0.958439	-0.754488
West	78	5463	0.0882	-0.717553	-0.754488
West	79	5463	0.1349	-0.581446	-0.754488
West	80	5463	0.0854	-0.701973	-0.754488
West	81	5463	0.0642	-0.663315	-0.754488
Whitmire	76	5464	0.0791	-0.8137	-0.618143
Whitmire	77	5464	0.0777	-0.676056	-0.618143
Whitmire	78	5464	0.1361	-0.32527	-0.618143
Whitmire	79	5464	0.1188	-0.668801	-0.618143
Whitmire	80	5464	0.0761	-0.636604	-0.618143
Whitmire	81	5464	0.0721	-0.588427	-0.618143
Williams	78	9962	0.1203	0.84961	0.984131
Williams	79	9962	0.1094	0.805645	0.984131
Williams	80	9962	0.0558	1.18724	0.984131
Williams	81	9962	0.0531	1.09403	0.984131
Zaffirini	76	5465	0.0776	-0.7407	-0.693337
Zaffirini	77	5465	0.0775	-0.637797	-0.693337
